text,label,sentiment
"So, let me make sure I understand this. You think that, if we remove an image as it does not meet the NFCC, you would then be able to upload the same image, only this time, it would meet the NFCC?",0,Impolite
"Out of curiosity what are you actually trying to accomplish? To put it another way, _why_ do you want to do this?",0,Impolite
But the template didnxb4t refer to any problems. What are the problems?,1,Neutral
Which call to Print fails?  The first call?,1,Neutral
"Hi, I was removed from the ""request for approval"" list at the vandalproof, and not put on either the ""approved"" or ""denied"" lists. Could you tell me why, please?",2,Polite
"I don't understand this sentence ""We are to find such placement of this polygons (we could make rotations and movements), when rectangle, which circumscribes this polygons has minimal area."" Can you clarify?",2,Polite
"Why do you want to disable either Javascript or cookies, or both?  What benefits will that provide?",0,Impolite
There's no apparent reason for the warnings to be caused by the `\cite` commands. Can you please add the exact warning message that you are getting?,1,Neutral
this has nothing to do with C#.  Why did you add it as a tag?,0,Impolite
Thankyou.  So it's the norm to not show the day of the week in the lead-in?,1,Neutral
"I solved the problem, and I can assure you it is trivial. Is it homework or not?",0,Impolite
I'd like not to receive any notices from this bot on my talk page. Is there a way to do this?,1,Neutral
What E-Mail library are you using? Can you show the full code?,2,Polite
Hi - how's it going?  Do you need more time?,2,Polite
"You could specify whether you need an introduction on applied statistics, or one on (theoretical) statistical inference. I.e., do you want the framework of testing, regression and ANOVA explained or do you want to know what the central limit theorem and the inequality of Chebiyshev have to do with the weak law of large numbers?",0,Impolite
"Why did you revert my edits on that page? You say it was unsourced but it was sourced, I put two references to two fair sources (not blogs nor politicaly bound), so why did you remove them?",0,Impolite
Visual Studio 2080? Are you from the future? O_O,0,Impolite
"As I recall, SoftIce was very sensitive about which version of Windows it was running on. Have you made sure the version you installed is compatible with whatever service pack you are running?",2,Polite
"Well, what does the message say? It must give some more detail than that *somewhere?*",2,Polite
"Just looking at that photo and the one in the article makes me feel cold :).   I just finished this article <url> a week or so ago, and wonder if those Forward Operating Locations are tied into intercepts from those NORAD radar sites ?",2,Polite
"That is a weird site. For one they count forum software as ""Content Management"" but then neglect Wordpress?",2,Polite
"Dear Fred, your question is very general.  You will get people saying ""yes i intend"" , ""no I don't"", but with regards to the feedback - what is it you expect to read?",1,Neutral
"Please be a little more specific! did you install it in an unusual way or is it just a ""normal"" Ubuntu package?",1,Neutral
"Thanks Dave.  As long as I reference your project on my site, thats ok right?",2,Polite
"The instructions you linked mention using Visual C++ Express, yet your output tells that distutils tries to use gcc.  What are you actually using?",0,Impolite
"Bingo!  Since you've seen the light, now will you stop trying to craft PR statements?",0,Impolite
Are you kidding me? Do you even bother to click on <url> to see its fleet?,0,Impolite
Do you have a specific question ? E.g. which part are you having difficulty with ?,0,Impolite
Major grammar reconstruction from @chills42 and myself. Maybe it's a clearer question now?,0,Impolite
"Is this homework, or some other type of assignment? If not, what is the bigger problem you're trying to solve?",1,Neutral
"If it's alright with you, I'm next going to start from 1930 and work back towards where you are, since I'm particularly interested in the Lang era. Is that okay?",2,Polite
I am genuinely trying to do something useful and helpful. Why are you attacking it?,0,Impolite
Is this just a confused marketing statement?  Or can you point us to a product that does this or a use of this notion in the wild?,1,Neutral
"Why avoid it? Is ""November 6,<br>2010"" somehow a more desired rendering than ""6 November<br>2010""?",0,Impolite
Yeah- using a stack for depth first. Did you know that you use a queue for breadth first?,2,Polite
"sorry I can't find a folding trike on the Catrike website, do you know the model name?",2,Polite
"I noticed, that for users warned before, Huggle still uses level 1 warning. Is there anything I can do?",2,Polite
What do you mean by usernames of a process?  Do you want to know the user that created each process?,1,Neutral
"There seems to have been something wrong with the pages you made on the V8 Supercar Championship Series - a glitch with the ""align"" tags in the beginning infobox made the text grotesquely overflow the margins. I've trimmed these down; mind checking my work?",2,Polite
"OK, then, define ""bias"", propose a way to quantify it, and if it's accepted by consensus, we'll apply it to ''all'' the admins on that page. Or, perhaps as a starting point, how about presenting some evidence?",0,Impolite
"Can you explain why {{1,2},{3,4}} is not ""interesting""? What is the relabeling that gives the same section?",1,Neutral
Could you please be more specific? Which paragraphs from the [link](http://reactivated.net/writing_udev_rules.html) are relevant to me?,2,Polite
A background image for what? How is the image being used?,1,Neutral
i searched through the history and the question at http://en.wikipedia.org/wiki/Talk:Telephone_numbering_plan#coincidence.3F relates to infomation <url>. could you possiblly answer it?,2,Polite
Can you please elaborate a bit? Like write few-word intro to those algorithms?,0,Impolite
"You tags are misleading - Algorithm, data structures and in your question you are asking for an answer to the puzzle. what do you want?",0,Impolite
"Thanks, this was easier to understand. Can you please add a few more lines to last three definitions?",2,Polite
"Well, in that case we should simply point the shortcuts to where they originally pointed, which in most cases is unrelated to both VIE and VINE. That sounds like a fair and neutral compromise, no?",2,Polite
"One of your edits concerns me - <url>. Maybe a copyedit would be good, but was it really required to be deleted completely?",0,Impolite
Did you just revert back to the old article? Or did I do something wrong with the move?,1,Neutral
<url> Am I missing something?,0,Impolite
"We will need more information. Would you please open a terminal and post the result of ""sudo fdisk -l""?",0,Impolite
I noticed you've put in quite a few posts in the gun politics talk pages. I'm just wondering do you have an interest in firearms or just the politics behind them and their use?,1,Neutral
"It's good that you stated your reasoning, but it would be even better if you could isolate the difficult ideas and ask a conceptual question rather than restating your homework.  For example, ""What forces act on a ball that rolls without slipping, and what are their relative magnitudes?",1,Neutral
Since when is `String` a primitive? Since when can you store primitives in a `Collection`?,0,Impolite
I also cannot see anything on that link. Is it on another page or have you removed the Ads entirely @Amit?,2,Polite
"What about (1,5) and (3,5)? Are you really finding inversions, inverted according to an incomplete order defined by the array A2?",1,Neutral
Silly question: does it maybe need more salt?,1,Neutral
What have you tried? What specifically have you looked at and why didn't it help you?,1,Neutral
SuaveArt has edited his post on the Wikipedia Review and is now lying about me. Did you see the actual post there before he changed it so you can back up my cut-n-paste of what it said?,0,Impolite
"When you're previewing the widget, which style are you using?  What operating system are you running designer on?",2,Polite
In .Net? C# or VB?,1,Neutral
"In what way do the GMTV images, such as <url>, conform with the guidelines at <url>? Where is the statement on the website saying that it is a press kit, and the images can be reproduced?",1,Neutral
"I am good at that ;-). You know about the new ""Oversight"" priv?",2,Polite
"Less than 127? Don't you mean ""Less or equal to 127""?",0,Impolite
"Can you please clarify, if you only care about the weights, why you don't simply do `data[x] += w`? What do you care about besides the weights?",2,Polite
Why a `BigDecimal`? Wouldn't `to_f` on the end of these values be enough?,1,Neutral
"Looking through the discussion page history, the addition was made by <url> who is still active on wikipedia. Why not try a message on <url>?",1,Neutral
I have attempted to address your concern. Could you take another look at the article?,1,Neutral
I am having the same problem.  Anyone have any other ideas?,1,Neutral
"i am not getting you,
and where is the link?",0,Impolite
Thanks for the correction but I am still working on the table. Could you hold off for a bit so our edits don't cross?,2,Polite
"Hm. Am I imagining things, or does <url> seem familiar?",0,Impolite
"Slightly underspecified: by 'arrange', you do mean place them in order at the start of the array? Any restrictions on what happens to the rest of the integers?",1,Neutral
Yes correct. Any ideas?,1,Neutral
I'm having a little trouble following your description; do you want an algorithm to find graph automorphisms?  Or one to test whether a given permutation is an automorphism?,2,Polite
"I have a similar problem, @Milos. This room wouldn't happen to be directly above a poorly-insulated garage, would it?",1,Neutral
"The C specification says tm_years is ""Years since 1900.""  Why not just stick to the standard and avoid this whole mess?",0,Impolite
Does it have to be `awk`?  Or would any suitable scripting language work?,1,Neutral
Possibly an encoding issue? Do you see this in all browsers?,1,Neutral
Are there any other limitations on a_i? for example a_i >=0?,2,Polite
"I understand the problem with that redundant category--I've hashed that out, I think--but why did you remove ALL categories from the Christian shows? That seems....excessive... Or do I just need a nap?",0,Impolite
"A module that is causing a fatal error because it's invoking a method of a non-object is clearly a bug in a module; it's difficult to say which module is causing the error, as the error is appending in a Views file, but it could depend from a parameter passed to a Views function from another module. (Is it Panels or APK?)",0,Impolite
"Hey, I saw your article on the ''Mosambique'' in the Good New Article search results and looked at your other contributions, and I see that you do a lot on naval history. Would you be interested in helping me to expand <url>?",2,Polite
"Alright, thanks. Where do I find these templates?",1,Neutral
Done. Does Adam Hunter need your disambig-style touch?,0,Impolite
"I am really disappointed that common speech allows the use of `who` like that, and I think I am correct when I say that if the cashier had said ""Can I help whomever is next?"" you will hear snickering in  line and a subtle ""Why is she speaking like that?"".",2,Polite
"Oh? You know something I don't, Friday?",0,Impolite
@Jen sorry to be patronising. Are you confusing *square numbers*  (numbers raised to the power of two) and *powers of two*?,0,Impolite
I tried a white map on <url> and a light yellow-pink on <url>. Which do you think looks better?,2,Polite
PS do you really think that attrition is a degeneration? Surely it's the norm?,0,Impolite
"An API is not at fault if they allow requests to take place more than 30 time in 5 seconds, right?  Or do we need to build throttling into our API?",2,Polite
"That's exaxtly what i meant for the point one....and as you said 200 in 1 week is definetly more impressive than 1000 in 1 year....Considering that i have a mysql db, php in the middle to make query and return json object and java for my android client that get the json and parse it.At wich level this ""ordering"" algorith should work? for example on the flight in php page...it mean that that the db is not ordered and in the php page i make a query enfding with ORDER BY and than my function ordering,or the MYsql db shoul already ordered,maybe running my algoruth once a day to reorder app table?",0,Impolite
"This is an awesome question. I think the question should be, ""How do I import the [Geonames list for India (ID.zip)](http://download.geonames.org/export/dump/) as taxonomy terms so it works with Hierarchical Select?""",0,Impolite
I remember the original question asking about a solution in Python.  Am I going insane?,1,Neutral
"schoolwork? it's a strange query, don't you have more information for us?",0,Impolite
"What is your relation to these authors?  Are you writing a package, or editing a publication?",0,Impolite
can you please try flushing your dns cache with this command dscacheutil -flushcache and restarting your browser.   Let us know if you can still access server.local with your browser?,2,Polite
"Hi, <url> to <url> broke the templates.  Can you fix that, please?",2,Polite
"Hi Thunderbrand, thanks for letting me know that the image I uploaded is on IFD. Can I ask though, why is the image being deleted?",2,Polite
"Thanks. Do you feel the information is ""weak"" or is it just too complex?",2,Polite
Have you considered a Dremel tool? Or is it not a fine enough cut?,1,Neutral
"I believe you wanted to find out which party the PP was? Well i'm sure you'll be able to find it at http://elections.uwa.edu.au/partysearch.lasso - my guess is that it could be the Progress Party, who ran in the 1977 WA HoR election?",2,Polite
"When you say ""single page"", you mean when you view a blog post page? And when you say ""page template"", you mean when you view a blog ""page"", like About Us?",2,Polite
is there overlap? e.g. could the closest min_x coordinate be less than A's max_x coord?,1,Neutral
"I can understand how rivers flow, but how do canals flow? Is it from the highest point to the lowest?",1,Neutral
why not `fprintf`? is this a homework?,0,Impolite
"Is this like a printing error on a postage stamp, i.e. a rarity?",0,Impolite
You really should give us more information. How does the user create an account for example?,0,Impolite
"Without seeing the images, how can we help you? Can you post some links to them?",0,Impolite
What kind of user knows JSON but not HTML?  How would you put bold text in a link?,0,Impolite
"Listen, the reason I put those signs in the code 'break-clear' is because the arrangement of the blocks is ''off-key'', at least when looking through IE or Mozilla. Why are you taking them off?",0,Impolite
-1: Huh?? Can you please explain?,0,Impolite
I've never worked with beamer `\note`. Could you please add a minimal example for your problem which compiles?,0,Impolite
Do you know if the Department of Water & Power is free of racism and discrimination? Do you know anyone in the company?,1,Neutral
"Speaking of FPC closures, is it common practice to close the likes of the Emu feeding video or the White Ibis, which had nothing but weak supports and supports (not enough total votes, but that was all) as ""Not Promoted""? Isn't that what the ""Nominations 7 days or older - Decision Time"" section is for?",0,Impolite
"@NV, if it's a job interview, are you allowed to get outside help? I mean, you're the one who's applying for the job, right?",0,Impolite
Good shot of Danica's car qualifying at Japan. Were you able to see her win the race?,2,Polite
I wasn't sure what you mean by making the title a clickable link. Can you show me how to do that?,2,Polite
"Still, I cannot understand why virtually all boxes related to the EU were removed. What makes this issue more divisive than for example the re-unification of Yugoslavia?",0,Impolite
That's great.  Did you have a question too?,2,Polite
"Packets are being received by a program (""streamed"" perhaps is a good word) that have a type of ACK, SYN, FIN, or any combination thereof. Essentially the question is, how can one detect when five different combinations have occurred?",2,Polite
What happens if you export the layer to a gdb featureclass - does it have coordinates?  Does the exported fc's spatialreference match that of  zlevels?,2,Polite
"So? what is the question? ""The code's not working"", is that the question?",0,Impolite
Did you find an answer to 2. of your list? The changing size of the label?,1,Neutral
how you show imges from lazyload in listview's image ? can you post your code please ?,2,Polite
"Javascript running in a browser doesn't have access to the underlying file system for security reasons, but this could be accomplished if you're talking about server-side JS (such as node.js). Are you? :)",1,Neutral
"Does each '?' have to be substituted with the same letter, or can they be different?",2,Polite
"I have no idea how to explain that succinctly, though I'll probably write a couple of articles on the whole mess soon. Any idea how to incorporate that into the article?",1,Neutral
I see you have a BugZilla account. How do you make it so it doesn't show your email to everybody?,1,Neutral
why such a large file? Is this a one time thing or is this a on going problem?,0,Impolite
"Email checked and responded to.  If you can't respond here, could you at least leave me a note to check my email?",0,Impolite
"That's a good idea, and then use default parameter window = NULL?  Are there other methods?",2,Polite
Please elaborate.  Did I give you enough info to do so?,1,Neutral
"Either way, administrators shouldn't be relying on counting how many categories are there for deletion, even if I accept to create the category only one day in advance. Suppose the bot fails to create the category for a day; then, you'll see only five categories and do no deletions on that day?",1,Neutral
"What is your definition of ""connected subgraph?""  Do you mean that the undirected version of the subgraph is a connected component, or that there's some source node of the subgraph from which all other nodes of the subgraph are reachable?",1,Neutral
"It's a possibility, but still leaves the problem that the terms are US Army jargon (at least, I don't recall hearing them anywhere else!). Maybe a transwiki to Wiktionary would be better?",1,Neutral
What makes executables different from strings?  Why can't you read the executable as a string?,1,Neutral
"Actually it's probably a structure. I bet you declared `struct mystruct { int something; }` and then tried `struct mystruct myobj` followed by a `myobj->something` when you meant `myobj.something`, right?",1,Neutral
"Hey, I just noticed that you are NOT an administator, I had always assumed that you were. I wondered if you would be interested in being nominated?",2,Polite
So you don't like people pointing out the errors you make? Or do you have any actual arguments to counter my post?,0,Impolite
What platform will you be running this client on? iPhone/iOS or Mac OS X?,2,Polite
"Yes, I agree. Would you please make the appropriate change?",2,Polite
I was thinking more of making the line longer so that the team's name can fit on it. Is that doable?,2,Polite
The deletion review page linked above contains all the instructions for requesting a review. Why did you not read these instructions?,0,Impolite
It could be a blockage. Does it drain ok?,2,Polite
"Crap, I'm sorry, I didn't realize someone was working on it, and it's done now, sorry to get your hopes up. No dramas?",2,Polite
Is your problem that you don't know why the cost of the cycle 3 -> 1 -> 2 -> 4 -> 5 -> 3 is 37? Or is it that you don't know how to do the backtracking?,0,Impolite
"Since all of the balls have a box to be put in, all organizations have the same point value, right?  Or am I missing something?",1,Neutral
"Did some of your formatting get eaten?  Did you mean to say ""I have a &lt;form&gt; with several..."" ?",1,Neutral
"Hi, yes I love your stats tool too. But could it also cover wikiversity and perhaps the other sister projects?",1,Neutral
"I see you figured out how to ask questions.  Why not earn a badge and go back and delete your ""non-answer"" to the TAOCP question?",0,Impolite
Post that part (filesystem events) as a separate question. Is the output of `os.listdir()` always what you expect it to be?,1,Neutral
"You're acting very oddly today: You've just reverted two separate edits on <url>, saying they were the phrasing of the Lancet, but neither references the Lancet, and it seems unlikely that both would have the same statement applying to them. Have you been hacked?",0,Impolite
"Shouldn't <url> have 2010 as his final year? It's pretty late into 2011 to be getting fired, but as I understand it, his navbox should read 2010, and then whatever coach takes the lead for this season will be the interim, no?",1,Neutral
"Apologies for this being on your page, but then you are an admin. Is it normal for 6 articles to have cut-and-paste identical substantial content on Wikipedia?",1,Neutral
What kind of processing will you perform?  Is it just a matter of setting up data structures to model a family tree?,2,Polite
"""I'm aware of WSOD Walkthrough but none of the reasons seems to apply this case.."" have you added the error reporting in the index.php? Do you get some errors then?",2,Polite
I reverted <url> as it complicated my normal routine archiving of all the discussions on my talk page.  Could you please refrain from this kind of edit in future?,1,Neutral
"You ask about a ""tag"". Is that tag from Wordpress or does the NextGEN gallery has it's own tagging mechanism?",2,Polite
"you are not giving us **nearly** enough detail to answer your question. First things first - is this a top down game, isometric, side scrolling?",0,Impolite
Why keeps everone calling Java **methods** *functions*? Is that what they're teached at schools nowadays?,0,Impolite
What are you trying to achieve? call ironpython functions from c#?,1,Neutral
"Hi Mecu, I've been asked by a user (a photographer) how they could add there pictures with limited copyright, for instance, there more than happy to upload them for use within wikipedia, but just don't want to release it completely free from copyright. Would a fair use tag be appropriate?",2,Polite
what i mean is the php part is the part that you need to debug. what is the error that you are getting?,1,Neutral
"If this were lisp, the solution would be to use map: (map + '(100 100) '(2 3)) => (102 103). Maybe Ruby has a similar function?",1,Neutral
That's a lot of complicated code for something which could probably be shown a lot more simply. Care to provide a much simpler example... and an actual *question* to go with it?,0,Impolite
Noticed you've been holding the fort alone... again :) Thought I'd drop by and say hello. Surely your sanity has reached its limits by now?,2,Polite
"And while I'm on templates, I spotted <url>. Does it affect the ME templates?",1,Neutral
"This redirect isn't working because the admin who locked the page slapped a template onto it, causing this link to become mundane. Can you fix this puzzling circumstance?",1,Neutral
Hello? Whom do I speak to to become a <url>?,2,Polite
"I agree, how did you come up with the problem in the first place? I would have thought the idea for a thesis would have come from a real world problem that needs solving?",2,Polite
"According to your comments to some of the answers you don't want to use neither locks nor interlocked operations, yet you want the operation to be locked. How do you think you can achieve licking without using, well, locking?",0,Impolite
"Please define ""better""  Addresses are very, very difficult to make consistent.  Do you have software to filter and standardize the addresses?",2,Polite
did anything ever happen with this?  did you file a bug?,1,Neutral
"the amount of time you might end up spending trying to figure out a noisy power supply might offset the cost of picking up an adjustable power supply, or even a decent single voltage Meanwell (or similar) 5VDC power supply.  That said, maybe an LM6805 or LP2954 will do the trick?",1,Neutral
"Hi, the only reason I called it <url> is because there are similarly named streets in <url> and <url>, and the latter one has some notoreity. Should we wait until articles are written about the streets in those other cities before identifying this one as belonging to <url>?",1,Neutral
"I agree with you in that this chapter has no place on <url>, moreover its inclusion there seems highly suspicious. Is there any way to see who added a particular word/sentence/paragraph without manually going through the history?",2,Polite
"Ok. Thank you for clarifying. Could you be more specific as to what you are specifying as ""the claim"" so that I may find relevant information to refute?",2,Polite
Are there any other limitations on a_i? for example a_i >=0?,2,Polite
"What is wrong, are you making a comment to Elderathis answer, or are you adding your own answer? If you're adding your own answer please expand a bit on this, I don't believe the base Clockworkmod can help you unless you've previously done full ROM backups, or follow the links on Elderathis post to get hold of the approriate ROMs (stock or custom)?",0,Impolite
I refer you to my last answer about independent sources. Do you have press coverage?,0,Impolite
"OK then. What's your problem with putting this in the lead : ""is one of the <url> counties of the <url> and "" ?",0,Impolite
As someone who has edited <url> you might be interested to see that it has been suggested for deletion (or some other form of bastardization).  Care to join in the discussion?,1,Neutral
I'm not seeing a reason why it should be much slower then the 9 seconds. Can you provide a sample of the file you are reading?,2,Polite
Thats good. Do you have any enemies on here as well?,0,Impolite
"Wow, that is a great answer!  Thanks for the answer.  One more question for you though.  How can I tell what the float of the pedal is?",2,Polite
Further: it seems to me that <url> was a perfectly reasonable dab page. I wonder why you needed to change it?,0,Impolite
@Jason: You're a harsh man. Millions of people also disagree it seems - go watch the show?,0,Impolite
That user <url> moved <url> page for no reason and I do not understand why it was moved or why a persistent vandalist like this was allowed to move it. Is there anyway at all to get it moved back and that user permanently banned?,0,Impolite
"""...in Mauritanian Ouguiya, it's أوقية‎0.00!"" - Wait, Mauritania has an app store? :)",1,Neutral
Please share some recipies of those pastas/1 dish meals?,2,Polite
"That's a good idea, and then use default parameter window = NULL?  Are there other methods?",2,Polite
"I'm curious: how do you make those beautiful coats of arms? Do you have a script that generates them from the heraldic descriptions, or do you make them by hand?",2,Polite
"I don't know of a specific resource, but if you have specific questions I may be able to help a little.  Are you using WER?",2,Polite
I've never heard of either of those.  What country are you in?,2,Polite
What are you asking specifically? for algorithms to do some kind of transitions?,2,Polite
Could you provide some sample code? On what elements does this actually happen?,1,Neutral
"I see you've just placed a deletion request on your user page, but this page has no history and hasn't been edited previously.  Did you mean to place it on the article you created, <url>?",2,Polite
"Thank you.  It's a strange hobby, isn't it?",2,Polite
"You should change the title to a question. Maybe something like ""What is the most popular Dictionary Application for Ubuntu?""",0,Impolite
"@Mawg Please define ""cheap"". As cheap as possible regardless of the amount of work involved?",2,Polite
Whats SiteMinder? Link?,0,Impolite
or anything else? So mutable linked list is allowed?,2,Polite
Kolmogorov test is for distributions hence object lying in infinite dimensional space... not obvious to get asymptotic power=1. t-test is about testing the mean of a real valued random variable?,1,Neutral
What does this have to do with programming?  Are you trying to solve this problem with a program?,0,Impolite
This is a vague question. Do you even consider the payment and billing cycle dates?,0,Impolite
Do you want your `visiblePhotos` to scroll off the edge or wrap around or what? Where is the `visiblePhotos` array created?,1,Neutral
The plane of the X will always be parallel to the plane of the image I assume? So no perspective distortion of the X?,2,Polite
You're welcome. What else is peer review for?,2,Polite
I beat you to it by about a minute.  Which would you like to remove?,1,Neutral
How come no one will answer this question!??,0,Impolite
"Cool, I'd be happy to help out. :-) What kind of things are you thinking about removing or adding?",2,Polite
Remark to the moderator -- please advise what is to be done -- I cannot leave comments unanswered. Can the comment section be locked so that anybody willing to discuss this matter to do it in chat?,1,Neutral
"Could you please elaborate that? Does it work as I think: you append the databases, then use scan>check duplicates ?",2,Polite
"You mentioned OWASP, but not their [Web Application Firewall](http://www.owasp.org/index.php/Web_Application_Firewall). Is there anything you'd like to do that isn't handled by the WAFs listed on that page?",1,Neutral
You appear to have created a duplicate of <person> at <person>. Is there any particular reason for this?,1,Neutral
Are you sure the timers are responsible for the memory usage? Have you run your app using Instruments to see what objects are consuming the most memory?,1,Neutral
"Hmmm... I suggest you try and solve them yourself, and then post questions back on SO with your attempted solutions. Just asking people to do the work for you kind of defeats the purpose, you know?",0,Impolite
You recently attached a <nowiki><person></nowiki> tag to an article about an Azeri poet. May I ask why?,2,Polite
"Ok, I accept your claims, although I prefer the official names. Do you have MSN Messenger?",1,Neutral
sorry about that. Can it be done in python?,2,Polite
Is the question supposed to relate to programming (i.e. solve this using a program)?,1,Neutral
I see you've given her a code name in <url>. Where did you run across this tidbit?,1,Neutral
"I can't figure this one out - adding the values of int pointers makes sense, but adding two char pointers together doesn't make sense for values or addresses.  What is the outcome you're expecting?",1,Neutral
"@Mark: Could you clarify something please?  You start by remarking that there is an undecidable problem P that is recognizable, and then observe that if HALT were decidable then we could construct a decider for P.  However, in the texts I have read, things are proved in the other order--the undecidability of HALT is used to demonstrate the existence of such problems P.  Can you show the existence of undecidable yet recognizable problems without using the undecidability of HALT?",1,Neutral
So what is the final verdict?  What would be the best technology to use in my case?,2,Polite
Sounds interesting. Could people keep me in the loop as well?,2,Polite
Why do you want to use those? What are you trying to do?,0,Impolite
"I really would rather use, in English, the one expression ""<url>"" instead of ""<url>,"" ""marz,"" ""<url>,"" ""khaet,"" ""<url>,"" ""eparchia,"" ""ostan,"" ""khoueng,"" ""faritany,"" ""aimag,"" ""tinh""u2014or ""<url>"" (aka ""<url>"").  <url> then why should ""<url>"" not be also?",0,Impolite
"Why not try it out and ask for specific answers if/when you encounter problems? I don't know if it's supported, but it's worth trying at least right?",1,Neutral
"This isn't the solution BUT,
You can't assign values to a NULL pointer as you do in the start of tree_add IF the tree pointer is NULL, also you do not return any pointer from the function even though you specified that the tree_add function should return something?",1,Neutral
"I see no problem with e-mail being used as a verb.  If you can mail a [paper] letter, why can't you [e-]mail an [electronic] letter?",1,Neutral
I tried updating it to WP:DAB style but I got reverted. Can you use your magic there and explain to the user why we should follow MOS:DP and such?,2,Polite
"Great! Do you use IRC at all, or do you stay on-wiki?",2,Polite
"So, is the template too much? Should I add it to all articles contained within the template?",2,Polite
where are you viewing the records?? are you sure they are not stored well?,0,Impolite
WTF? Downvotes? What for?,0,Impolite
Is the image in the Oracle database or is it a path to the image? Could you provide a code sample?,2,Polite
The animal has only just been discovered by western science: I've seen no claim of any photograph having been taken.  I have no idea of how to research/decide open the status of the computer gererated graphic that has been on many press reports: can you?,1,Neutral
"Thanks. Oh, and if you don't mind, would you please block the sockmaster?",2,Polite
"What are you programming on, where 16MB is too much? A phone?",0,Impolite
why would you have to upload the access database? isn't it already on the server??,0,Impolite
A lil bit confusing here. Do you want to compare if the Person array have a repeated items?,1,Neutral
"The article is not about this, at all. Could you explain your logic?",0,Impolite
Is the rectangle parallel to the X and y axises? Or can the rectangle be turned in 2D space?,1,Neutral
"Hey, ixb4m on your side there any way we can discuss it with more users? Or just over one of the Talk pages (2011 Site)?",1,Neutral
